Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
F,Seperated,25,Cashier,80000,10,Yes,8,2,A,Villa,F,Spanish,Graduate,0
F,Divorced,30,Accountant,40000,10,Maybe,1,6,A,Bunglow,F,French,Graduate,1
F,Divorced,50,Doctor,30000,5,Maybe,7,5,C,Bunglow,D,French,Graduate,1
F,Common-Law,45,Student,30000,25,Maybe,6,7,C,Villa,F,English,Other,1
F,Single,25,Accountant,90000,15,Yes,3,8,C,Apartment,G,Spanish,Diploma,0
F,Married,20,Student,60000,5,No,7,4,A,Bunglow,A,English,Undergraduate,1
F,Divorced,35,Teacher,70000,25,Yes,6,7,A,RV,F,Spanish,PhD,0
F,Seperated,40,Pilot,40000,15,Maybe,7,4,C,RV,E,French,PhD,1
M,Divorced,20,Driver,30000,5,Yes,3,2,C,RV,F,English,HighSchool,1
M,Seperated,35,Accountant,80000,20,Maybe,5,4,B,Bunglow,A,English,HighSchool,1
M,Married,25,Cleaner,70000,15,No,9,6,B,Bunglow,E,French,PhD,0
M,Single,50,Cashier,90000,5,No,3,2,A,Mansion,C,French,Diploma,0
M,Common-Law,35,Accountant,20000,5,Maybe,3,9,B,RV,E,English,Diploma,1
M,Seperated,30,Engineer,70000,5,Maybe,1,4,B,Bunglow,D,French,HighSchool,0
F,Common-Law,50,Cashier,60000,20,Yes,7,6,A,RV,A,Spanish,Other,0
M,Divorced,45,Cleaner,90000,5,No,9,6,A,Bunglow,E,French,Graduate,1
M,Single,25,Cashier,60000,20,Yes,7,5,B,Apartment,B,French,Graduate,0
F,Married,40,Doctor,70000,25,Yes,6,4,B,Mansion,A,English,Diploma,0
M,Divorced,50,Pilot,30000,5,No,1,1,A,Apartment,F,French,Graduate,1
F,Single,25,Doctor,30000,10,Yes,4,1,C,Villa,B,English,Other,0
M,Seperated,40,Doctor,70000,15,Yes,9,8,C,RV,B,French,Graduate,0
F,Common-Law,50,Engineer,60000,25,Yes,1,9,A,RV,H,English,Undergraduate,0
M,Seperated,20,Driver,70000,25,Maybe,3,7,B,RV,A,English,Diploma,0
F,Divorced,35,Student,70000,15,No,1,6,B,Apartment,A,English,Other,0
M,Seperated,30,Pilot,30000,20,Maybe,2,6,B,RV,H,Spanish,HighSchool,1
F,Married,20,Teacher,60000,20,Maybe,2,4,B,Bunglow,B,French,PhD,0
M,Divorced,50,Engineer,10000,5,Yes,3,5,A,Mansion,E,English,HighSchool,1
F,Married,40,Student,10000,20,Yes,6,3,B,Apartment,A,Spanish,Diploma,1
M,Divorced,30,Accountant,60000,25,Maybe,6,2,B,RV,B,French,Other,1
F,Married,30,Student,90000,15,No,2,9,B,Bunglow,C,English,HighSchool,0
F,Seperated,30,Doctor,20000,10,Maybe,2,2,B,Villa,B,English,PhD,0
M,Divorced,25,Teacher,90000,25,No,1,7,B,Mansion,E,French,Other,0
M,Seperated,25,Doctor,20000,5,No,4,6,B,Apartment,F,Spanish,Diploma,1
M,Married,35,Accountant,10000,5,No,6,8,B,Bunglow,F,Spanish,Diploma,0
F,Married,45,Accountant,40000,10,Maybe,7,3,B,Mansion,E,Spanish,HighSchool,0
F,Divorced,50,Doctor,30000,10,Yes,2,1,C,RV,B,Spanish,Diploma,1
F,Married,30,Student,50000,15,Maybe,2,2,B,RV,F,French,Undergraduate,0
F,Divorced,25,Teacher,80000,10,Yes,9,7,C,Bunglow,G,Spanish,PhD,1
M,Single,35,Doctor,20000,20,No,6,9,C,Bunglow,H,Spanish,Graduate,1
M,Divorced,35,Cleaner,70000,25,No,7,3,C,Villa,D,English,Graduate,1
M,Married,35,Student,70000,15,Yes,1,4,A,Apartment,F,English,Graduate,1
M,Married,35,Doctor,30000,10,Yes,4,1,A,Apartment,E,Spanish,Other,1
M,Married,25,Teacher,90000,5,Yes,4,4,B,Apartment,A,French,PhD,0
M,Divorced,40,Driver,80000,10,No,6,1,A,Villa,D,Spanish,PhD,0
F,Seperated,25,Engineer,90000,15,Maybe,3,5,C,Bunglow,B,Spanish,Other,1
M,Single,35,Cleaner,60000,20,Yes,9,5,C,Villa,F,English,Graduate,1
M,Married,50,Pilot,40000,25,Yes,1,1,B,RV,B,French,Other,0
M,Single,40,Accountant,50000,5,Maybe,3,2,C,Apartment,E,Spanish,Other,1
F,Divorced,45,Engineer,30000,20,Maybe,3,5,B,Mansion,H,Spanish,Diploma,0
M,Single,50,Cleaner,80000,25,Yes,2,9,C,Mansion,G,English,Undergraduate,1
M,Single,50,Cashier,20000,20,Yes,3,4,C,Bunglow,B,French,PhD,0
F,Single,50,Teacher,50000,5,No,4,7,B,RV,F,Spanish,PhD,0
M,Single,50,Cashier,90000,20,Maybe,3,1,A,Mansion,D,French,HighSchool,0
M,Married,35,Driver,60000,5,Maybe,6,1,C,RV,D,Spanish,PhD,1
M,Common-Law,45,Teacher,50000,5,Yes,4,5,B,Bunglow,G,Spanish,PhD,0
M,Divorced,45,Engineer,30000,20,Yes,9,4,B,RV,H,French,HighSchool,0
M,Common-Law,35,Pilot,40000,25,No,4,1,B,RV,D,French,HighSchool,0
M,Divorced,35,Teacher,30000,25,Yes,6,3,B,Apartment,C,French,HighSchool,1
M,Single,25,Engineer,20000,10,Yes,6,4,A,Apartment,D,English,Undergraduate,1
M,Common-Law,25,Driver,70000,10,Yes,6,3,A,Villa,H,Spanish,Other,1
F,Married,45,Cashier,60000,5,No,9,1,C,Mansion,H,English,HighSchool,0
F,Common-Law,40,Accountant,30000,10,Maybe,7,3,C,Mansion,G,Spanish,Other,0
M,Divorced,20,Accountant,20000,10,Yes,6,2,A,Mansion,A,French,PhD,0
F,Common-Law,25,Teacher,70000,5,Maybe,6,7,B,RV,B,English,HighSchool,0
M,Married,40,Cleaner,10000,25,Maybe,3,8,C,Mansion,A,French,Diploma,1
F,Single,40,Driver,10000,15,Maybe,2,3,A,Apartment,G,French,PhD,1
M,Married,45,Cleaner,50000,25,Maybe,2,8,C,Mansion,E,French,Diploma,1
F,Divorced,25,Student,70000,5,Yes,3,7,B,Mansion,D,Spanish,HighSchool,1
M,Married,30,Accountant,30000,10,No,1,1,B,RV,G,English,Undergraduate,0
F,Married,30,Cashier,90000,10,Yes,6,4,C,Mansion,D,English,Undergraduate,1
M,Married,35,Teacher,70000,10,Maybe,1,9,B,Mansion,G,French,Graduate,1
M,Common-Law,20,Accountant,10000,20,Yes,4,2,C,Mansion,C,English,Diploma,0
F,Married,20,Cashier,70000,25,Yes,7,5,A,Apartment,E,Spanish,Undergraduate,1
M,Common-Law,40,Engineer,70000,10,Maybe,5,8,B,Apartment,H,French,Undergraduate,0
M,Divorced,20,Accountant,90000,10,No,1,2,A,Mansion,B,French,Diploma,0
M,Common-Law,50,Accountant,20000,25,Yes,5,7,C,Apartment,A,French,Undergraduate,1
