Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
M,Common-Law,50,Teacher,80000,15,No,5,8,B,RV,F,Spanish,Graduate,1
M,Married,20,Cleaner,60000,20,Yes,3,9,B,Villa,D,Spanish,Undergraduate,1
F,Married,45,Cleaner,20000,15,Maybe,5,5,A,RV,D,English,PhD,1
M,Common-Law,40,Driver,10000,20,Yes,2,5,C,Mansion,A,English,Undergraduate,0
M,Single,25,Student,30000,25,Maybe,3,7,B,RV,B,English,Other,1
F,Seperated,45,Student,30000,25,Yes,1,3,B,Villa,E,English,PhD,0
M,Common-Law,30,Doctor,70000,25,No,1,5,A,Villa,F,English,Undergraduate,0
M,Married,20,Cashier,60000,5,No,5,9,C,Bunglow,G,Spanish,Diploma,0
F,Common-Law,35,Driver,50000,20,Yes,4,5,C,Apartment,F,English,Undergraduate,0
M,Seperated,20,Cleaner,20000,5,Yes,7,9,C,Villa,F,Spanish,Undergraduate,1
F,Single,45,Cleaner,30000,5,No,3,4,B,Bunglow,A,French,Other,0
M,Married,35,Doctor,70000,10,Maybe,5,7,A,RV,A,French,Diploma,1
F,Divorced,20,Teacher,40000,15,Yes,3,4,A,Apartment,B,Spanish,Undergraduate,1
F,Divorced,30,Teacher,50000,25,Maybe,2,6,A,Mansion,D,French,Diploma,1
M,Married,20,Student,30000,10,No,6,7,B,Mansion,H,English,Graduate,0
F,Married,35,Cashier,90000,20,Maybe,2,1,B,Bunglow,G,Spanish,PhD,1
F,Common-Law,45,Cashier,90000,5,Maybe,6,3,A,Mansion,E,French,Graduate,1
M,Married,30,Doctor,10000,5,Maybe,8,1,B,Bunglow,C,English,Undergraduate,1
M,Divorced,20,Engineer,10000,20,No,9,2,B,Apartment,H,Spanish,HighSchool,0
M,Single,35,Teacher,40000,10,No,1,7,B,Villa,C,Spanish,PhD,0
M,Single,50,Driver,20000,10,Yes,5,1,C,RV,H,French,PhD,1
F,Common-Law,30,Teacher,30000,20,Maybe,2,7,C,Apartment,C,French,HighSchool,1
M,Divorced,35,Engineer,40000,20,No,5,1,A,Mansion,G,French,Diploma,0
M,Married,45,Accountant,60000,20,No,2,9,B,Mansion,B,Spanish,HighSchool,0
M,Divorced,25,Teacher,60000,15,Maybe,2,2,C,RV,D,French,Undergraduate,1
F,Married,45,Cashier,40000,10,Yes,1,7,C,Villa,C,Spanish,Graduate,1
F,Single,30,Accountant,90000,10,Maybe,6,7,A,Villa,H,Spanish,HighSchool,1
M,Common-Law,25,Doctor,40000,15,Yes,8,6,C,Bunglow,E,French,Diploma,0
M,Divorced,20,Engineer,20000,25,No,6,8,C,Villa,B,Spanish,PhD,1
M,Single,30,Engineer,20000,25,Maybe,3,9,B,Bunglow,F,Spanish,Other,0
M,Seperated,50,Accountant,80000,15,No,9,5,C,RV,D,French,Undergraduate,0
M,Seperated,20,Cashier,10000,15,Yes,9,1,C,Mansion,C,English,PhD,1
F,Common-Law,35,Pilot,70000,15,Maybe,3,5,A,Apartment,D,French,PhD,1
M,Seperated,40,Cleaner,30000,20,No,3,5,A,Mansion,D,French,HighSchool,1
M,Married,30,Accountant,80000,25,Maybe,1,7,A,Mansion,B,English,Graduate,1
M,Common-Law,50,Cleaner,20000,25,No,6,7,A,Mansion,H,English,Undergraduate,0
M,Common-Law,45,Teacher,90000,10,No,6,7,B,Mansion,A,Spanish,PhD,1
F,Common-Law,50,Doctor,30000,5,Maybe,7,7,A,Bunglow,A,Spanish,Undergraduate,1
M,Common-Law,40,Doctor,40000,10,No,9,2,B,RV,C,English,Undergraduate,1
F,Divorced,30,Cleaner,90000,15,Maybe,6,8,C,Bunglow,F,English,Undergraduate,0
M,Single,45,Cleaner,10000,10,Maybe,3,2,B,Mansion,A,French,Diploma,1
M,Seperated,25,Driver,30000,5,Maybe,5,3,C,RV,H,French,Other,0
F,Single,45,Pilot,20000,20,Yes,5,6,C,Apartment,G,French,Graduate,1
F,Single,25,Pilot,40000,5,Yes,6,4,C,Mansion,E,English,Graduate,0
F,Divorced,20,Student,10000,5,Yes,6,1,C,Mansion,G,English,PhD,0
F,Married,45,Cashier,30000,10,No,7,4,C,RV,C,French,Undergraduate,1
F,Seperated,25,Pilot,80000,5,Maybe,9,9,B,Apartment,E,French,Graduate,1
F,Divorced,40,Student,50000,25,No,6,5,C,RV,C,Spanish,Other,0
M,Married,40,Student,80000,5,Maybe,9,2,A,Bunglow,A,Spanish,Other,0
M,Married,25,Accountant,70000,5,Yes,6,5,C,Bunglow,B,English,Diploma,1
M,Married,20,Cleaner,70000,15,No,4,9,A,Mansion,E,Spanish,HighSchool,0
F,Single,30,Student,40000,10,Yes,7,7,B,Apartment,B,French,Diploma,1
F,Divorced,30,Engineer,70000,10,Maybe,4,4,B,Apartment,E,Spanish,PhD,0
F,Married,30,Cleaner,20000,20,Yes,1,8,C,RV,D,English,HighSchool,1
M,Seperated,25,Student,80000,10,Yes,2,2,A,RV,E,French,Other,0
F,Married,45,Accountant,80000,5,Maybe,7,8,B,Mansion,G,French,Graduate,0
F,Common-Law,30,Driver,60000,10,Maybe,2,3,A,Mansion,E,English,Other,0
M,Common-Law,25,Cashier,70000,15,Maybe,6,1,B,Apartment,C,Spanish,Graduate,0
M,Divorced,50,Driver,20000,25,Yes,9,3,A,Bunglow,F,French,Diploma,1
F,Seperated,40,Cleaner,60000,10,Maybe,2,2,B,Villa,D,Spanish,PhD,0
F,Single,50,Accountant,10000,25,Yes,6,7,B,Mansion,B,English,Other,1
F,Seperated,40,Pilot,90000,25,Maybe,2,3,C,Bunglow,D,Spanish,HighSchool,1
M,Single,40,Driver,40000,10,Yes,4,5,B,Villa,D,French,PhD,1
F,Married,25,Doctor,60000,10,No,6,1,A,Villa,G,Spanish,Other,0
M,Common-Law,50,Engineer,10000,15,Yes,3,6,A,Bunglow,D,English,Other,1
M,Single,30,Pilot,20000,25,Maybe,3,2,B,Apartment,D,English,Undergraduate,1
F,Seperated,30,Accountant,20000,15,Yes,9,6,B,RV,E,Spanish,Other,1
