Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
M,Common-Law,20,Pilot,10000,5,Yes,4,4,B,Mansion,E,Spanish,Diploma,0
F,Single,35,Pilot,90000,15,Maybe,9,8,C,RV,D,Spanish,Undergraduate,1
M,Common-Law,45,Driver,80000,15,No,4,3,C,Villa,F,English,Graduate,0
M,Seperated,50,Doctor,50000,25,Yes,8,9,C,Mansion,C,Spanish,Diploma,0
M,Seperated,35,Accountant,80000,5,Maybe,4,3,C,Bunglow,H,English,Diploma,1
M,Divorced,40,Pilot,70000,5,Maybe,6,2,B,Mansion,H,French,Other,1
M,Single,25,Doctor,60000,20,Yes,8,1,C,Bunglow,C,Spanish,Diploma,1
M,Divorced,45,Student,10000,15,No,9,5,A,Mansion,H,Spanish,Graduate,1
M,Single,30,Cleaner,60000,20,Maybe,4,2,C,Villa,D,Spanish,Graduate,0
M,Common-Law,45,Pilot,80000,15,Maybe,6,9,A,Mansion,F,French,Other,1
M,Married,45,Accountant,40000,15,Yes,3,3,A,Villa,H,Spanish,PhD,1
M,Divorced,35,Doctor,40000,5,Yes,7,6,B,Villa,D,English,Undergraduate,0
F,Married,20,Driver,10000,5,No,9,5,A,Villa,B,French,Diploma,1
F,Common-Law,35,Driver,70000,25,No,4,6,A,Apartment,B,Spanish,Undergraduate,1
M,Married,40,Cleaner,50000,15,Yes,8,6,C,Bunglow,A,French,Diploma,0
F,Common-Law,30,Cleaner,20000,20,Yes,2,6,B,RV,F,Spanish,HighSchool,1
F,Divorced,35,Engineer,90000,15,No,9,2,C,Mansion,A,French,Other,0
M,Divorced,30,Student,50000,5,Maybe,8,5,A,Villa,F,English,Graduate,1
F,Divorced,35,Accountant,70000,10,Yes,9,4,B,Villa,F,French,Graduate,0
F,Seperated,30,Pilot,20000,25,Yes,2,6,C,Apartment,C,English,PhD,1
F,Single,25,Cleaner,80000,10,No,2,5,A,Bunglow,B,Spanish,Graduate,0
F,Single,50,Cashier,40000,15,Yes,9,2,A,RV,D,Spanish,PhD,1
M,Single,30,Cashier,60000,20,Maybe,7,3,A,Bunglow,G,Spanish,Diploma,0
F,Single,35,Accountant,40000,20,Maybe,9,4,C,Mansion,E,English,HighSchool,0
M,Married,50,Cashier,50000,25,Yes,4,8,B,RV,G,English,HighSchool,0
M,Married,50,Accountant,70000,10,Maybe,4,3,A,Bunglow,A,English,Diploma,1
F,Common-Law,50,Driver,10000,10,Yes,1,1,A,Villa,A,French,HighSchool,1
M,Married,30,Engineer,20000,20,Maybe,7,2,B,Mansion,B,Spanish,PhD,1
M,Divorced,45,Cashier,70000,5,No,4,7,A,RV,G,French,Graduate,1
F,Single,50,Student,20000,5,No,3,9,C,Bunglow,E,French,HighSchool,1
M,Single,25,Pilot,40000,20,No,5,5,C,Apartment,C,French,HighSchool,1
F,Single,45,Accountant,30000,20,Yes,5,3,A,Bunglow,B,Spanish,HighSchool,1
M,Married,20,Student,60000,15,No,8,9,C,Mansion,F,French,Diploma,1
F,Seperated,30,Accountant,70000,25,Maybe,3,2,C,Villa,F,French,PhD,0
F,Divorced,45,Pilot,70000,5,Yes,8,6,C,Villa,G,French,HighSchool,0
M,Single,45,Teacher,50000,10,Yes,6,9,A,Mansion,G,English,Diploma,0
M,Common-Law,30,Engineer,70000,20,Yes,4,1,A,Bunglow,H,Spanish,Graduate,0
M,Common-Law,50,Student,70000,25,No,9,7,B,Bunglow,B,Spanish,Undergraduate,1
F,Seperated,40,Cleaner,20000,5,Yes,4,7,A,Villa,D,Spanish,Other,1
F,Married,40,Driver,30000,5,No,6,4,C,Mansion,H,English,Undergraduate,1
F,Seperated,20,Pilot,90000,10,Maybe,8,1,B,RV,H,English,Graduate,0
M,Divorced,35,Accountant,40000,25,No,7,5,B,Bunglow,F,English,Undergraduate,0
M,Married,40,Driver,90000,25,Maybe,3,6,B,Mansion,G,French,Graduate,1
F,Seperated,40,Engineer,10000,25,Yes,7,6,C,Bunglow,A,Spanish,Undergraduate,0
F,Single,30,Teacher,40000,5,No,6,6,C,RV,C,Spanish,HighSchool,1
F,Seperated,20,Engineer,20000,25,Yes,4,4,C,Villa,B,English,PhD,0
F,Seperated,40,Driver,60000,5,No,4,5,B,Villa,G,French,Other,0
F,Common-Law,45,Doctor,80000,15,Maybe,9,8,A,Villa,D,English,Undergraduate,1
M,Common-Law,50,Teacher,90000,10,No,8,6,B,Bunglow,F,Spanish,HighSchool,0
F,Seperated,30,Cashier,40000,10,Maybe,1,8,A,Apartment,B,French,Undergraduate,1
F,Single,35,Cashier,30000,20,Yes,3,3,B,Apartment,B,English,HighSchool,0
F,Common-Law,40,Driver,90000,15,No,4,5,B,Mansion,C,English,HighSchool,0
M,Single,20,Teacher,30000,25,No,6,1,A,Bunglow,A,Spanish,PhD,1
M,Divorced,30,Doctor,10000,25,Maybe,7,9,C,RV,B,English,Diploma,0
M,Single,40,Teacher,80000,10,Yes,3,6,B,Apartment,F,Spanish,HighSchool,0
F,Married,45,Cashier,10000,25,Maybe,2,3,B,RV,B,English,Undergraduate,0
F,Seperated,30,Pilot,20000,25,Yes,3,9,C,Apartment,B,English,PhD,1
F,Single,25,Pilot,80000,10,Yes,6,9,B,Mansion,C,English,PhD,1
M,Seperated,20,Student,30000,20,Maybe,5,2,C,Apartment,C,Spanish,Other,0
F,Single,25,Engineer,40000,5,Yes,3,6,C,Apartment,G,English,HighSchool,0
F,Common-Law,25,Driver,50000,15,Yes,1,6,A,RV,C,Spanish,HighSchool,0
F,Married,50,Cashier,80000,15,No,9,4,B,Mansion,A,English,Other,1
F,Married,25,Student,70000,10,Maybe,5,4,A,Mansion,C,Spanish,HighSchool,0
M,Single,35,Student,40000,20,Yes,3,3,C,RV,G,French,PhD,0
F,Common-Law,45,Cashier,30000,5,Yes,5,1,A,RV,F,English,Graduate,1
M,Married,25,Cleaner,50000,15,Maybe,8,7,C,Apartment,G,English,Diploma,0
F,Common-Law,20,Accountant,80000,5,Maybe,8,6,A,Mansion,E,English,Graduate,1
M,Divorced,50,Pilot,10000,15,Maybe,7,4,C,Villa,F,Spanish,Other,0
F,Divorced,20,Student,60000,25,No,8,9,A,Bunglow,H,Spanish,Undergraduate,0
M,Married,30,Doctor,70000,10,Yes,8,6,C,Villa,B,Spanish,Diploma,0
F,Seperated,40,Pilot,20000,5,Yes,6,4,C,Mansion,G,French,PhD,1
F,Divorced,30,Doctor,50000,15,Maybe,3,3,C,Villa,A,English,Graduate,1
F,Single,50,Doctor,60000,20,No,5,1,C,Apartment,A,Spanish,Graduate,0
M,Married,25,Driver,90000,15,Maybe,7,8,C,Villa,F,Spanish,Other,1
M,Divorced,35,Student,40000,5,Maybe,9,7,B,RV,G,English,Undergraduate,0
M,Seperated,35,Pilot,40000,10,Maybe,6,1,A,Bunglow,F,Spanish,HighSchool,0
F,Single,50,Cleaner,80000,15,No,5,1,C,RV,A,Spanish,HighSchool,0
M,Common-Law,40,Engineer,40000,25,Maybe,2,4,C,Bunglow,B,English,HighSchool,1
M,Divorced,35,Driver,20000,15,Maybe,9,5,C,Apartment,A,Spanish,Other,1
M,Single,40,Doctor,70000,20,Maybe,3,4,B,Apartment,G,English,PhD,0
M,Single,25,Cleaner,40000,10,Maybe,9,2,A,Mansion,F,English,Other,1
F,Married,30,Student,70000,10,Maybe,7,9,B,Bunglow,A,Spanish,Graduate,1
F,Seperated,40,Driver,80000,10,Yes,8,3,B,Apartment,C,English,Undergraduate,0
F,Common-Law,35,Accountant,30000,5,No,4,7,A,Bunglow,G,English,HighSchool,0
F,Divorced,45,Driver,20000,10,Maybe,5,4,B,Villa,C,Spanish,Graduate,0
M,Single,45,Pilot,20000,20,Maybe,5,2,A,Villa,E,Spanish,Other,0
F,Single,50,Student,10000,10,Yes,8,2,B,Apartment,D,Spanish,HighSchool,0
M,Seperated,20,Accountant,80000,25,No,7,5,A,Apartment,B,English,Other,0
M,Single,45,Teacher,10000,5,Yes,7,6,C,RV,G,French,HighSchool,0
M,Divorced,20,Cleaner,30000,10,Maybe,9,9,B,Mansion,G,Spanish,PhD,0
M,Single,45,Student,70000,10,Maybe,1,5,B,RV,H,Spanish,Other,1
F,Common-Law,50,Engineer,40000,15,No,4,2,A,Villa,G,French,Other,1
F,Married,50,Accountant,90000,20,Maybe,6,6,B,Villa,B,French,Other,0
M,Seperated,40,Accountant,40000,25,No,6,3,B,Villa,H,Spanish,HighSchool,1
F,Married,20,Teacher,90000,10,No,8,3,A,RV,D,English,Graduate,1
F,Divorced,45,Pilot,60000,20,Maybe,6,8,C,Villa,F,English,PhD,1
F,Seperated,40,Teacher,50000,10,Maybe,7,5,C,Villa,H,Spanish,Other,0
F,Divorced,45,Pilot,80000,25,Maybe,9,7,B,Mansion,E,French,Graduate,1
M,Married,40,Pilot,40000,25,Maybe,3,8,B,RV,H,Spanish,Graduate,0
M,Married,20,Driver,40000,25,Yes,4,3,C,Mansion,E,English,Diploma,1
