Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
M,Married,40,Student,70000,15,No,1,5,C,RV,F,Spanish,Graduate,0
F,Married,30,Doctor,10000,5,Yes,1,6,A,RV,C,English,Undergraduate,0
F,Common-Law,50,Accountant,50000,15,Maybe,1,5,A,Villa,G,English,PhD,0
M,Common-Law,25,Pilot,20000,25,No,7,1,B,RV,F,English,Graduate,1
M,Married,30,Driver,50000,15,Maybe,2,1,C,Villa,F,English,Other,0
F,Divorced,30,Driver,20000,5,No,1,1,C,Mansion,H,Spanish,Undergraduate,0
M,Common-Law,25,Doctor,40000,15,Yes,8,2,C,Bunglow,G,Spanish,HighSchool,1
M,Single,20,Cleaner,40000,15,No,6,1,C,Villa,G,Spanish,Undergraduate,1
M,Married,50,Accountant,30000,25,Maybe,1,6,C,Apartment,E,Spanish,Graduate,1
M,Single,40,Cleaner,40000,25,Maybe,3,2,B,Villa,H,Spanish,PhD,0
F,Married,30,Engineer,20000,25,Maybe,6,7,A,Villa,E,English,Other,1
F,Single,35,Teacher,50000,10,Yes,5,6,B,Mansion,F,French,PhD,0
F,Single,50,Engineer,90000,25,Maybe,7,7,C,Mansion,F,French,PhD,0
F,Seperated,50,Cleaner,80000,20,Yes,2,1,A,Bunglow,C,Spanish,Undergraduate,0
M,Common-Law,50,Cleaner,30000,15,No,9,6,C,Apartment,A,Spanish,Diploma,0
F,Divorced,40,Engineer,20000,15,Yes,3,2,A,Apartment,E,French,PhD,0
F,Common-Law,25,Doctor,40000,15,No,1,8,A,Mansion,D,Spanish,Undergraduate,0
M,Seperated,45,Cleaner,40000,25,Yes,7,9,B,RV,D,Spanish,Graduate,1
F,Divorced,25,Cleaner,60000,10,Maybe,9,2,A,Mansion,H,Spanish,Graduate,1
M,Common-Law,25,Student,90000,20,Maybe,5,8,A,Mansion,C,Spanish,Other,0
M,Married,45,Accountant,70000,15,Yes,1,7,B,Villa,F,English,PhD,0
F,Seperated,30,Cleaner,70000,25,No,1,4,C,RV,G,French,HighSchool,1
F,Common-Law,25,Cashier,90000,10,No,2,7,A,Villa,B,French,Graduate,0
F,Divorced,45,Pilot,90000,20,Maybe,3,8,A,Villa,A,French,Undergraduate,1
M,Married,40,Student,60000,25,Yes,3,2,C,Mansion,C,Spanish,HighSchool,0
M,Common-Law,50,Student,20000,20,Maybe,2,8,B,Bunglow,G,Spanish,HighSchool,1
F,Seperated,40,Accountant,90000,15,Maybe,1,3,A,Apartment,B,French,Diploma,0
M,Common-Law,40,Cashier,60000,20,Yes,6,5,C,Apartment,C,Spanish,Diploma,0
M,Single,45,Pilot,10000,15,No,4,1,B,RV,E,Spanish,Other,0
M,Single,40,Pilot,50000,25,Yes,8,1,B,Villa,F,English,Undergraduate,1
M,Single,50,Engineer,30000,20,Yes,3,1,B,Apartment,B,French,PhD,1
M,Divorced,50,Teacher,80000,10,Yes,5,5,C,Apartment,B,English,Undergraduate,0
M,Married,20,Teacher,60000,25,Maybe,2,9,B,Bunglow,B,French,Graduate,0
M,Seperated,20,Student,20000,20,No,6,5,C,Apartment,G,English,Other,1
F,Divorced,50,Student,30000,25,Yes,2,9,B,Bunglow,D,French,Undergraduate,1
F,Married,45,Pilot,30000,5,Yes,1,4,B,RV,H,Spanish,HighSchool,0
F,Single,50,Engineer,90000,15,Maybe,3,9,B,Bunglow,G,French,Undergraduate,0
F,Single,30,Teacher,80000,25,No,4,5,B,Apartment,F,English,Other,0
M,Married,35,Pilot,70000,25,Yes,3,1,B,Apartment,A,English,Undergraduate,1
F,Common-Law,35,Doctor,90000,10,Maybe,5,9,A,RV,A,Spanish,Diploma,1
F,Single,30,Teacher,20000,25,Maybe,5,3,A,Mansion,A,Spanish,PhD,1
F,Seperated,20,Cashier,20000,25,No,1,8,A,RV,H,Spanish,Diploma,1
M,Common-Law,25,Pilot,30000,5,Yes,5,3,A,Apartment,F,English,HighSchool,0
M,Common-Law,35,Student,90000,10,No,3,5,A,Villa,A,French,Graduate,1
M,Divorced,25,Student,90000,10,No,3,4,C,Villa,H,Spanish,HighSchool,0
F,Single,25,Pilot,90000,10,Maybe,6,8,C,Bunglow,A,Spanish,Diploma,0
F,Married,25,Cashier,30000,20,Maybe,4,5,A,Mansion,G,English,Graduate,0
F,Single,45,Cleaner,40000,15,Yes,6,4,C,Bunglow,F,French,Other,1
M,Divorced,30,Driver,80000,20,Yes,5,3,B,RV,C,French,Other,0
F,Common-Law,35,Cashier,20000,25,No,2,8,C,Mansion,F,Spanish,Diploma,1
F,Seperated,45,Accountant,40000,25,Maybe,3,9,B,RV,E,English,Undergraduate,0
M,Divorced,40,Accountant,50000,25,Maybe,1,8,C,Villa,F,French,PhD,0
